t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,2.3235877891687333,0.11870938933525414,0.13918319493190764,3.4011969781552605,3.4011967795099434,0.5102156794090507,0.5319116781240968
250,0.6807535476439083,0.0220828524942524,0.06341134649722596,3.39729884305092,3.400910427018123,0.6468696223872397,0.4382245710682851
500,0.727902004189716,0.03941999017086761,0.051862449648316544,3.388832795741235,3.3991433770800725,0.6641253008753981,0.4268624496483165
750,0.7490598402319082,0.056310144372983595,0.03759338857855278,3.3757914455071747,3.3938702342093894,0.6810390914504358,0.4125933885785528
1000,0.6384194391909184,0.06484610286058172,0.015215434593391253,3.367375681078436,3.378902741397197,0.6895869953054736,0.39021543459339125
1250,0.5660643496707769,0.06722082202511254,0.0037930060159114126,3.364812643297191,3.3598610092073806,0.6919650376929359,0.37120699398408846
1500,0.7154145154746616,0.06220128912968996,0.027488334057673897,3.3701161323355624,3.328015485522487,0.6869384803766592,0.3475116659423262
1750,0.752029617773381,0.04900401562772265,0.045280963838997934,3.382016053030995,3.29812804418102,0.6737227383826746,0.3297190361610021
2000,0.7300474207089732,0.03161670592305576,0.059944831011515175,3.3932660579559206,3.269562383528749,0.6563110965771065,0.3150551689884849
2250,0.6441689818693586,0.012393905629995448,0.06845972716769236,3.399965930014054,3.2513059222168446,0.6370613955659777,0.3065402728323077
2500,0.6301798750791017,0.01080310415318947,0.06829146838636516,3.400251631866452,3.251678745457415,0.6145189840014776,0.3067085316136347
2750,0.772856439792442,0.03518378372383258,0.061681742183948,3.391341037372939,3.265938993771976,0.5900746872098929,0.313318257816052
3000,0.8023026051425589,0.05415016979335186,0.046346637236786364,3.3776703991722536,3.2961729727616857,0.5710588115939664,0.32865336276321366
3250,0.7899519851604728,0.06918251246643528,0.029731242734137516,3.3625306198995646,3.3245323273555822,0.5559872445890784,0.34526875726586254
3500,0.6172079336374003,0.07437207235650341,0.002935135133141198,3.356397012973633,3.3608450036488615,0.5507841434284662,0.37206486486685875
3750,0.7560597180768451,0.07121515714479426,0.02345676083106081,3.36018440280007,3.3853570661376224,0.5539492960714552,0.3984567608310607
4000,0.828761413172464,0.059279229664644446,0.0445115449631579,3.372938822547571,3.396847157300402,0.5659163683165999,0.41951154496315785
4250,0.8096162485067248,0.04072501662367272,0.06072102647216963,3.3879637812078753,3.4007088348000387,0.5845189954088291,0.4357210264721696
4500,0.7089050990832663,0.018542575348029704,0.07037245536328585,3.39846672963152,3.400894327147618,0.6067593179778776,0.4453724553632859
4750,0.6504592277252128,0.009632628086983782,0.07201114962207501,3.4004387396331825,3.4007660772250246,0.6342962538435768,0.447011149622075
5000,0.8002715282222117,0.034638335320065175,0.06569698653339938,3.3916676098060172,3.401004366626135,0.6593369544943771,0.4406969865333995
5250,0.8452728015113691,0.05454514350056879,0.05138747958354392,3.3773773322501603,3.399022192990699,0.6792716206053774,0.42638747958354395
5500,0.8394505208795106,0.07098209081594342,0.03419974504179426,3.360553418133433,3.3921230509983546,0.6957315700681448,0.4091997450417944
5750,0.6765032575373134,0.07714281613014623,0.007661990384621328,3.353042907103147,3.3720288836846133,0.7019009168075431,0.3826619903846213
5999,0.7818313062800437,0.0757424920561172,0.022230280189137894,3.3548087092872776,3.335861939977815,0.7004986330958675,0.3527697198108622
