t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,0.013532382749547434,0.00630148370769264,0.006934364522572823,3.4011973813212575,3.401197381521187,0.6254597373538286,0.37269671686351874
250,5.480311783451208e-05,0.00016839283412411912,0.00013843895541476814,3.4011973795364296,3.4011973805743057,0.6250017360023072,0.3749948856125779
500,5.6120407587123555e-05,0.00016864200105433003,0.0001383526195350509,3.4011973795289236,3.4011973805813245,0.6249980128391331,0.3749949721099186
750,5.858850683673755e-05,0.0001714210471795619,0.00013588002414547412,3.401197379378252,3.4011973807315163,0.6249952271072159,0.3749974493294293
1000,5.151226291585931e-05,0.00017194173831393806,0.00013447587011591164,3.4011973793362107,3.4011973807730933,0.62499470516341,0.3750011441962744
1250,6.082170014978794e-05,0.00016995203099799488,0.00013762730643174,3.401197379473368,3.401197380635485,0.624996699657537,0.3750043023700556
1500,4.550789953566836e-05,0.00016692646137984996,0.00013874375732889972,3.401197379559958,3.401197380548453,0.6250002672796254,0.37500542120781655
1750,6.143680090198167e-05,0.0001703685590916983,0.00013729036336469725,3.4011973794501476,3.401197380657817,0.6250037148934757,0.375003964706637
2000,4.818665744538153e-05,0.00017205403007598453,0.00013395305822946253,3.4011973793270176,3.4011973807804874,0.6250054030655139,0.37500062026666664
2250,6.041093408609699e-05,0.00017117802150201528,0.0001363541805013524,3.401197379396705,3.4011973807103235,0.6250045256530914,0.37499697428633044
2500,5.3880518232574115e-05,0.00016815196112439945,0.00013856465439962627,3.401197379542663,3.401197380563874,0.6250014947432966,0.37499475967851725
2750,5.776502904419889e-05,0.00016890706479926745,0.00013829260801598146,3.4011973795199095,3.401197380586132,0.6249977471377013,0.3749950322336682
3000,5.815569375369756e-05,0.00017158451633156723,0.00013566246695032743,3.4011973793655224,3.401197380740032,0.6249950632447923,0.37499766729348866
3250,5.356343353865589e-05,0.00017192568876461893,0.00013474777330216382,3.401197379337572,3.4011973807675107,0.6249947212515711,0.37500141668076326
3500,6.089219487301345e-05,0.00016976373777721808,0.00013782444302728658,3.4011973794830497,3.4011973806215736,0.6249968884037509,0.37500449992811
3750,4.7912364749491676e-05,0.0001671980317927566,0.00013877224894985745,3.4011973795582042,3.40119738054597,0.6250005392852438,0.37500544976034994
4000,6.201071511396927e-05,0.0001705943001416551,0.0001371363291398514,3.401197379436301,3.4011973806674183,0.6250039409962873,0.37500381034310193
4250,4.665351986776756e-05,0.0001721265205209279,0.00013368937315068113,3.4011973793207,3.401197380782552,0.6250054756721287,0.37500035601785475
4500,6.147491360658508e-05,0.00017106249139320012,0.0001366024289317441,3.401197379404976,3.4011973806977887,0.6250044099378398,0.37499672557363867
4750,5.280452342357189e-05,0.00016790296747036017,0.00013867933326141147,3.401197379548128,3.4011973805541356,0.6250012453506171,0.374994644785189
4999,5.9238583518417265e-05,0.00016915742807829243,0.0001382259613647723,3.4011973795103576,3.4011973805914035,0.6249974961721018,0.37499509900495853
