game,algo_L,stepsize_mode,init_mode,seed,iters,final_duality_gap,gap_log_linear_rate,final_w2_sum,w2_log_linear_rate,final_entropy_a,final_entropy_b,final_barycenter_x,final_barycenter_y,csv_path
chizat_example_4_1,1,vanilla,uniform,0,6000,1.200922466875295,-2.6170292322870058e-05,0.15040122657415517,-1.827505541779243e-05,3.2353313984752536,3.1932687566993474,0.5672982199652558,0.4674135283246678,chizat_example_4_1\global\L1_vanilla_init-uniform_seed0.csv
chizat_example_4_1,1,vanilla,uniform,1,6000,1.0328544030379234,-2.1551836272393766e-05,0.1294654833492308,-1.4685082224603836e-05,3.3623227159254334,3.0272216026589978,0.6440598748925436,0.26495307451280314,chizat_example_4_1\global\L1_vanilla_init-uniform_seed1.csv
chizat_example_4_1,1,vanilla,uniform,2,6000,0.9746020999818266,-4.2189355979291765e-05,0.12207255909403564,-3.36911697528333e-05,3.377635074893749,3.2108537224598863,0.571022621604976,0.3071521158972958,chizat_example_4_1\global\L1_vanilla_init-uniform_seed2.csv
chizat_example_4_1,1,vanilla,uniform,3,6000,0.772562957715393,-3.983707231344631e-05,0.0967620161918399,-3.4921526483285814e-05,3.3799320570280105,3.2982342479317355,0.5736730672812689,0.32975656300430717,chizat_example_4_1\global\L1_vanilla_init-uniform_seed3.csv
chizat_example_4_1,1,vanilla,uniform,4,6000,0.22793044731482903,-7.48477097754636e-05,0.02872088295960389,-7.264459913038459e-05,3.3894538858533054,3.4003034384506976,0.6465362807543585,0.36804497484000476,chizat_example_4_1\global\L1_vanilla_init-uniform_seed4.csv
chizat_example_4_1,1,slingshot,uniform,0,6000,1.5246061226839887,3.862136602041838e-06,0.1907105893765274,1.0715135640362552e-05,3.1727222922389378,3.385613681076607,0.5426533870649839,0.2667708475995174,chizat_example_4_1\global\L1_slingshot_init-uniform_seed0.csv
chizat_example_4_1,1,slingshot,uniform,1,6000,1.0379325176335152,-2.252267702667342e-05,0.1303326925105182,-1.660086623765433e-05,3.1964596788575217,3.346948729178214,0.7330554325552948,0.39668613214889453,chizat_example_4_1\global\L1_slingshot_init-uniform_seed1.csv
chizat_example_4_1,1,slingshot,uniform,2,6000,0.8632742684581125,-5.15078269510611e-05,0.10842801954156236,-4.3644273981997243e-05,3.354034424812634,3.29001679743569,0.7011208342020951,0.34321155064483116,chizat_example_4_1\global\L1_slingshot_init-uniform_seed2.csv
chizat_example_4_1,1,slingshot,uniform,3,6000,0.7818313062800437,-2.0197812165844058e-05,0.0979727722452551,-1.586298908936641e-05,3.3548087092872776,3.335861939977815,0.7004986330958675,0.3527697198108622,chizat_example_4_1\global\L1_slingshot_init-uniform_seed3.csv
chizat_example_4_1,1,slingshot,uniform,4,6000,0.187635644250927,-0.0001008365137751825,0.02393100107583446,-9.688785813051671e-05,3.395508055144961,3.399511064722365,0.6348288451769881,0.3886256103543778,chizat_example_4_1\global\L1_slingshot_init-uniform_seed4.csv
chizat_example_4_1,2,vanilla,uniform,0,6000,1.1392713391096145,-3.3462304104130765e-05,0.14253144615514968,-2.560407893322285e-05,3.2488633002004463,3.1979624080935367,0.5732265687842815,0.46563548617298334,chizat_example_4_1\global\L2_vanilla_init-uniform_seed0.csv
chizat_example_4_1,2,vanilla,uniform,1,6000,0.9612560165127153,-2.8610916049392464e-05,0.12038095476216278,-2.181968266204892e-05,3.368029186327831,3.040135758877419,0.6387465139578731,0.2685895118937836,chizat_example_4_1\global\L2_vanilla_init-uniform_seed1.csv
chizat_example_4_1,2,vanilla,uniform,2,6000,0.9346472841542105,-4.9043057284104134e-05,0.11712625037569094,-4.062259514711679e-05,3.3783170995994376,3.2213184015738645,0.5717830883491075,0.31138600113161613,chizat_example_4_1\global\L2_vanilla_init-uniform_seed2.csv
chizat_example_4_1,2,vanilla,uniform,3,6000,0.7377249710345696,-4.694527496608799e-05,0.09241320247671649,-4.207393060334403e-05,3.3811960073355727,3.3033820794501163,0.5751984525958462,0.33258592602483256,chizat_example_4_1\global\L2_vanilla_init-uniform_seed3.csv
chizat_example_4_1,2,vanilla,uniform,4,6000,0.21937787130956632,-8.246352779122361e-05,0.02788201498725316,-8.10515212034309e-05,3.3900773178081764,3.4003060528278954,0.645531878861254,0.3681096449475582,chizat_example_4_1\global\L2_vanilla_init-uniform_seed4.csv
chizat_example_4_1,2,slingshot,uniform,0,6000,1.1715670209740359,-2.9715957709844723e-05,0.14653338033152555,-2.1904138494171154e-05,3.24175659920766,3.195620895373869,0.5700784146831259,0.4665242923048804,chizat_example_4_1\global\L2_slingshot_init-uniform_seed0.csv
chizat_example_4_1,2,slingshot,uniform,1,6000,1.001360100453741,-2.4986786612231126e-05,0.1254480623303279,-1.8060738489322106e-05,3.3648354670601783,3.033172369515036,0.6417894324161953,0.26661941985947796,chizat_example_4_1\global\L2_slingshot_init-uniform_seed1.csv
