game,algo_L,stepsize_mode,init_mode,seed,iters,final_duality_gap,gap_log_linear_rate,final_w2_sum,w2_log_linear_rate,final_entropy_a,final_entropy_b,final_barycenter_x,final_barycenter_y,csv_path
sc_sc,1,vanilla,uniform,0,2000,-0.0006281367579250184,-0.07258433290048721,1.963103424407909e-07,-0.007495816897671106,0.6931424679428293,1.3617224778839463,2.7107708581604457e-15,-2.866932931011026e-15,sc_sc\L1_vanilla_init-uniform_seed0.csv
sc_sc,1,vanilla,uniform,1,2000,-0.0006281367579246233,-0.05442439392108006,2.0219041287016314e-07,-0.007943272547764894,1.3615846553507835,1.000517382420536,-1.1403853633065503e-15,6.1020462498542835e-16,sc_sc\L1_vanilla_init-uniform_seed1.csv
sc_sc,1,vanilla,uniform,2,2000,-0.0006281367579258593,-0.0615040958651005,1.881672121012024e-07,-0.007560430853792035,0.9772817197667611,0.6771630175429691,-4.761697542222313e-15,-1.839954514820948e-15,sc_sc\L1_vanilla_init-uniform_seed2.csv
sc_sc,1,slingshot,uniform,0,2000,-0.0006281367579269673,-0.06985369307696715,1.7532480226142318e-07,-0.006191880099534338,1.024051020549838e-12,1.09861228866904,-3.740500503869614e-15,3.5215779283247433e-15,sc_sc\L1_slingshot_init-uniform_seed0.csv
sc_sc,1,slingshot,uniform,1,2000,-0.0006281367579246553,-0.1044669160676734,1.9727841812368567e-07,-0.005340049560568352,1.0554515787828542,0.6068355712657146,1.6427323500864599e-15,-8.163201805553019e-15,sc_sc\L1_slingshot_init-uniform_seed1.csv
sc_sc,1,slingshot,uniform,2,2000,-0.0006281367579269852,-0.10501963062673385,1.786165234925155e-07,-0.005650968771759965,1.0291580464631137e-12,0.5333945428365403,5.965535027465537e-16,1.5602800290075871e-15,sc_sc\L1_slingshot_init-uniform_seed2.csv
sc_sc,2,vanilla,uniform,0,2000,0.028442829365061678,-0.0008055688885838826,0.24774786958746725,-0.0004920901572660435,1.3841030767763411,0.664438533163701,-0.00747916116681858,0.007473383055059815,sc_sc\L2_vanilla_init-uniform_seed0.csv
sc_sc,2,vanilla,uniform,1,2000,0.03224372856495583,-0.0008375070574630286,0.2820363269076118,-0.00046248041484108686,1.0120552306763522,0.6921191895274232,0.039700836485858454,-0.03552911506721168,sc_sc\L2_vanilla_init-uniform_seed1.csv
sc_sc,2,vanilla,uniform,2,2000,-0.0006281367579053789,-0.03786404706853119,3.3955778879161807e-07,-0.007901501435297914,1.0732498461785855,1.0842202955871603,4.07431187776684e-15,-1.9831461793616106e-15,sc_sc\L2_vanilla_init-uniform_seed2.csv
sc_sc,2,slingshot,uniform,0,2000,-0.000628136757875962,-0.0987323848826245,4.857717472258939e-07,-0.004098178245460916,1.0291580464631137e-12,0.6635302552240631,1.5798883854963746e-16,-4.027656994973758e-15,sc_sc\L2_slingshot_init-uniform_seed0.csv
sc_sc,2,slingshot,uniform,1,2000,-0.0006281367578786802,nan,4.741310654471429e-07,-0.002953925636671491,1.0953357279482998,0.6878566722740844,2.364347531497636e-15,6.462675984893452e-15,sc_sc\L2_slingshot_init-uniform_seed1.csv
sc_sc,2,slingshot,uniform,2,2000,-0.0006281367578706296,nan,5.055258887983726e-07,-0.002861708840213756,0.6930897597848391,0.689726716318745,5.138516477259898e-15,7.098849411108706e-15,sc_sc\L2_slingshot_init-uniform_seed2.csv
