t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,90.31655373837856,1.9838512894353806,9.876497568935353,2.626614000507372,0.6928791847583079,-1.3372299461443884,8.795688401346709
100,0.0024821198649046367,0.04511967584808642,0.06373015659381376,0.04877718977540482,0.5553229237929632,-0.0003324115085984616,-0.0021253334809562046
200,-0.0006212726487630272,0.00274716741154059,0.0024094138671124457,5.204291990977512e-05,0.5334969302637043,-2.2404839900297892e-07,7.277438353371493e-06
300,-0.0006281253132321502,8.877559889691916e-05,0.00011707933729399832,8.297002718341302e-08,0.5333948886005473,4.1183933160272635e-09,2.1831110351885644e-08
400,-0.000628136735052076,1.8857680292092423e-06,6.389165785164809e-06,2.6067404529904396e-10,0.5333945436703176,-2.0533428012320983e-12,-2.565813467266338e-11
500,-0.0006281367578544251,1.3030448319392785e-07,3.7264966456521496e-07,1.7610535793693834e-12,0.5333945428384032,-2.5720744762375547e-15,-1.1862371098144384e-13
600,-0.0006281367578941096,2.6665132937553706e-07,9.930140868266468e-08,1.0704069625645435e-12,0.5333945428365426,-1.6674394275886114e-15,8.658567516802005e-15
700,-0.0006281367578940967,2.666513293755371e-07,9.930140868266468e-08,1.0704069625645435e-12,0.5333945428365426,6.64311969946686e-16,8.396814542259194e-15
800,-0.0006281367578940735,2.6665132937553653e-07,9.930140868266472e-08,1.0704069625645358e-12,0.5333945428365426,-4.156374884501207e-15,7.609105264645724e-15
900,-0.0006281367578969115,9.182186334815348e-08,2.6069922469297675e-07,1.0289360018581887e-12,0.5333945428365799,3.1430131964171756e-15,-7.459121665365257e-15
1000,-0.0006281367578941212,2.6665132937553706e-07,9.930140868266468e-08,1.0704069625645435e-12,0.5333945428365426,-1.1612861348490588e-15,8.700320380412761e-15
1100,-0.0006281367578939985,2.6665132937553664e-07,9.930140868266495e-08,1.0704069625645358e-12,0.5333945428365426,-1.3771540160058557e-14,9.900814840293451e-16
1200,-0.000628136757894118,2.666513293755371e-07,9.930140868266468e-08,1.0704069625645435e-12,0.5333945428365426,-4.1254792149215757e-16,8.628717583701508e-15
1300,-0.0006281367578968898,9.182186334815331e-08,2.6069922469297723e-07,1.0289360018581887e-12,0.53339454283658,1.2094651098296542e-16,-1.1345292035476891e-14
1400,-0.0006281367578969434,9.182186334815332e-08,2.6069922469297723e-07,1.0289360018581887e-12,0.53339454283658,1.2667574303973752e-15,-8.06106428385679e-15
1500,-0.0006281367578941006,2.6665132937553706e-07,9.930140868266468e-08,1.0704069625645435e-12,0.5333945428365426,-2.470195055518164e-15,8.211963805432934e-15
1600,-0.0006281367578969054,9.182186334815331e-08,2.6069922469297723e-07,1.0289360018581887e-12,0.53339454283658,7.281225342309346e-16,-1.0117254891408419e-14
1700,-0.0006281367578941373,2.6665132937553706e-07,9.930140868266468e-08,1.0704069625645435e-12,0.5333945428365426,-1.9063107615121583e-15,7.314700139108922e-15
1800,-0.0006281367578940436,2.6665132937553653e-07,9.930140868266474e-08,1.0704069625645358e-12,0.5333945428365426,-6.7045599916109986e-15,6.254882470092777e-15
1900,-0.0006281367578940334,2.6665132937553653e-07,9.930140868266477e-08,1.0704069625645358e-12,0.5333945428365426,-8.394001133736758e-15,4.971092513410325e-15
1999,-0.0006281367579269852,9.64798705180607e-08,8.213665297445481e-08,1.0291580464631137e-12,0.5333945428365403,5.965535027465537e-16,1.5602800290075871e-15
