t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,4.642076647428814,1.9757580584141843,2.0079740869167026,2.8011235620753854,2.6275999344518532,-0.9662333050886541,-0.644526884799925
100,0.15259927061842835,0.4940066494842169,0.22888660500484445,1.4019664989168759,0.9324162012994973,0.06608554094425934,-0.06740227109862906
200,0.03548534530800012,0.25693086992993125,0.04832635934283289,1.0325585784400233,0.7008752267427437,0.04074900672001049,-0.036618194551625245
300,0.03234115277935898,0.24669699199534792,0.03612672565550729,1.0129445089267506,0.6924343346577434,0.03972784488534126,-0.03556411163818623
400,0.032246887736586724,0.24638608287056965,0.03567810441564352,1.0120919493600986,0.6921312189363678,0.0397015317288787,-0.03553031771093678
500,0.03224383724991563,0.24637636192410428,0.035661019742411114,1.0120567200320818,0.6921196811390177,0.039700854534864966,-0.03552915850006074
600,0.032243732514244214,0.24637604337075683,0.03566032530871899,1.0120552912361902,0.6921192108436408,0.03970083696895601,-0.035529116705341146
700,0.03224372871619103,0.246376032369361,0.03566029624620162,1.0120552331832573,0.6921191904905142,0.0397008365001243,-0.035529115131508006
800,0.032243728571035433,0.2463760319664369,0.03566029501250149,1.0120552307829649,0.6921191895717587,0.03970083648637444,-0.03552911506983327
900,0.03224372856520944,0.24637603195073282,0.03566029495973145,1.0120552306807913,0.6921191895293693,0.03970083648587871,-0.03552911506732746
1000,0.03224372856497134,0.2463760319501032,0.0356602949574919,1.0120552306764443,0.6921191895274748,0.03970083648585501,-0.03552911506722303
1100,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1200,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1300,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1400,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1500,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1600,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1700,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1800,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1900,0.03224372856496539,0.24637603195008922,0.03566029495743397,1.0120552306763524,0.6921191895274234,0.039700836485854395,-0.035529115067220715
1999,0.03224372856495583,0.24637603195002933,0.03566029495758252,1.0120552306763522,0.6921191895274232,0.039700836485858454,-0.03552911506721168
