t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,13.871102180047226,5.631064400059786,5.690265869834101,3.3998475377576485,3.4010830520270847,-0.29977504047980885,1.0873351775249136
200,123.81065815021789,8.593561740567857,3.8600048111166667,3.3049044631629134,3.3813063050128,8.576347048719631,3.8047187663021598
400,120.02684004946985,2.271397521429781,9.851801582605297,3.3801323265794676,3.2939385769941643,2.154458961171413,9.848225043775576
600,126.21784257110568,4.877463267050107,7.831596437679992,3.3561347924910976,3.295105461731397,-4.820416991798192,7.801367265312376
800,108.40616889999019,10.0,1.1504026939902132,3.265946401851422,3.3951318104458443,-9.999999999999998,0.8406168899990217
1000,126.25354348079355,6.647911158687427,6.054087571689379,3.320184129609113,3.3426318183098944,-6.612710631633528,-6.012643716445828
1200,105.17069979244324,0.9528448244686977,10.0,3.401193598095885,3.2669042393389445,0.5170699792443225,-10.000000000000002
1400,127.53922964512259,7.650845282336286,5.189691857830975,3.3079262374852143,3.32555798443871,7.615865509740914,-5.138057454771343
1600,115.57879598940059,9.78519276370221,1.9216155127851595,3.2852812385115424,3.396418326564918,9.784512864781101,1.7733667341589578
1800,126.7096474527095,3.841204530120171,8.935576970531196,3.354691267247482,3.285539833401273,3.763339355728871,8.90762538954208
2000,123.39399081742533,3.440978574693726,9.000280578642338,3.3825994308375753,3.2682740572032345,-3.3521614156671005,8.987237666075435
2200,122.20271778807965,9.738561770114194,2.6002234712810335,3.2868067327877504,3.3812806192174896,-9.728053034523498,2.492218744284467
2400,126.53725943172046,7.950592583503516,4.795333252697368,3.28048890176403,3.3568217634106263,-7.919966515136967,-4.733759428035076
2600,109.91335398303796,1.2619274170820116,10.0,3.3929251056751077,3.2716461113259507,-0.9913353983037968,-10.0
2800,126.28367115209723,5.97670389938968,6.729678265782901,3.3388425587642256,3.3130038678706137,5.935386156436476,-6.692980958773248
2999,106.11726438592122,10.0,1.0155116584441053,3.2658295587105712,3.39755756972606,10.0,-0.6117264385921206
