t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
0,0.33208610555913254,0.4666318750869445,0.3448391162469041,1.327543088351432,1.5922457343457728
50,0.5662048758838357,0.42024733824442967,0.691613557225796,1.5002091946433855,0.6854264688952594
100,0.6492399669048047,0.47730247406127185,0.5581719422780822,1.2466480286985906,1.0693165306844499
150,0.5637648801364178,0.5178456046953831,0.7855216156915984,1.1936699805976865,0.312529923754985
200,0.667248899293348,0.669926815714151,0.7053139880624957,0.6536948053380242,0.5720313219180123
250,0.686581308080647,0.6774447882745618,0.8270515415621181,0.5812095077737554,0.17291841060698027
300,0.6637229841121051,0.8401397250084653,0.5494889709581653,0.09143037070647776,1.0699688645110603
350,0.6777267783508993,0.5433655591024377,0.6904366944457836,1.1454725025399006,0.7628488574734895
400,0.566011384456878,0.6991927557115636,0.5097188865117168,0.7379675934798015,1.190349258610878
450,0.6996715045218831,0.768274340819389,0.6752555750234368,0.34667823423352795,0.8287446864441881
500,0.6883533581508134,0.5647318381451221,0.7098862870352571,1.0173671917917337,0.6859090746380956
550,0.6992477626604574,0.6419101904327654,0.710522127198699,0.7796152171790101,0.5012696438943567
600,0.6865265961797122,0.632846148879137,0.743651141641656,0.7391231092402302,0.35417167418141465
650,0.6918321123305944,0.8493273678879725,0.7901664513166504,0.04788454676470609,0.290721932169774
700,0.6862653160459835,0.7518691556259265,0.7093844862401004,0.39455596206340965,0.5345611655354818
750,0.6996182934819231,0.8147483045952901,0.6616837579230896,0.17721143638760642,0.8082419583725976
800,0.699540928512126,0.8556583576504186,0.7071915537012267,0.011750297763828044,0.7291262645459341
850,0.6980510031445113,0.8487283076155983,0.8466989937967603,0.057310141889985,0.06482210094541228
900,0.6998864755515055,0.7647933605475149,0.8571002883447884,0.32208033723956525,0.000482058122362026
950,0.6994808310933269,0.8300901845924669,0.8034193939790486,0.12781921213937336,0.21025354443306218
1000,0.699901855838978,0.8324622473855015,0.7069534348979812,0.12703355329774527,0.5217191824315481
1050,0.6995716879282177,0.8555532153739628,0.8542643371639226,0.013199467621170781,0.02270920422213766
1100,0.6999343138462126,0.8571211031474919,0.7138886031523937,0.0002692364108780076,0.686136029867136
1150,0.6999359553902067,0.7076861919269284,0.8550344060245657,0.7259967642863551,0.016008148531671262
1200,0.699993390371314,0.8567274781800851,0.7142693161763293,0.003682990309002222,0.44232434287431976
1250,0.6999908247235425,0.7312846750452564,0.8258960621304829,0.4276832215801972,0.1592697709837409
1300,0.6641192558121336,0.857090233540718,0.5434206312483078,0.0005713025994060053,0.9793927700127889
1350,0.6998982346441994,0.6079162201031694,0.8570469358028365,0.9444055108106599,0.0009931386427169339
1400,0.6999699011775851,0.8344801435084979,0.7137703598944296,0.11352427472095761,0.46120507819007645
1450,0.6999996522912247,0.8551689607715823,0.8560189531715567,0.014295311445426536,0.009411507447192033
1500,0.699999928928875,0.8333099260696276,0.857006912283595,0.12293614587234782,0.0013490088739094453
1550,0.6998397060931154,0.7957821711655336,0.8570512082124853,0.23522165854845345,0.000945744078360772
1600,0.6999980524092996,0.8526609300009701,0.838641461381681,0.030732218957627854,0.09281932237231703
1650,0.6999996311731365,0.8363236031750712,0.8570569361813716,0.10890510353274119,0.0009104041703903184
1700,0.699999931438001,0.8065476307001694,0.8549339678239276,0.23329200864486854,0.015723192890045718
1750,0.6999963657189634,0.8569820404603079,0.8457391309766237,0.0015710104046637297,0.06324976971853849
1800,0.6999989373487705,0.8564706540721871,0.7132523016638,0.006063829879266587,0.5218510138998149
1850,0.6999996754191105,0.8570829432262419,0.8501762666745959,0.0006585435228673207,0.041627842125704397
1900,0.6999999709732266,0.7142855481725222,0.8051819397278771,0.5075234342746702,0.2271859194899226
1950,0.6999987413780163,0.8560918256392877,0.8568823142447825,0.008660616169746845,0.00243470436760753
2000,0.6999999133765586,0.8512611299565876,0.8479608840842393,0.04013629608405367,0.052217825764506745
