t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
0,0.2849682417994271,0.4209631969182024,0.20485990673764193,1.5255315564651202,1.7776473336861363
50,0.2250925488907059,0.32025947991761883,0.310401914008964,1.5738404116881282,1.6580145999248455
100,0.12331316229330168,0.26120708490372535,0.2664927697852682,1.6983558432492503,1.720361744691294
150,0.17010743491792513,0.28563844816380257,0.2640336016842958,1.7161287296144931,1.7377543641654363
200,0.3438740352606618,0.28623191591104963,0.42932577794714577,1.703695359996618,1.5205577150841396
250,0.2388788137584103,0.3337156372956523,0.3589966684480411,1.674485395613126,1.5800139116221241
300,0.1553849927579384,0.2675315480796886,0.3365541189898798,1.745088072239171,1.6199454048918158
350,0.17745791480122067,0.3780826414455767,0.34613192458802805,1.582297626147967,1.6052753718680721
400,0.253721187108134,0.4093863311342536,0.38054172026640365,1.497775536102408,1.5397656439512108
450,0.2065683203615839,0.4187785744971317,0.34790557380843845,1.493758354186281,1.556607058325029
500,0.306577561833453,0.4516134963598404,0.29990415443692703,1.416402523141496,1.6491409106432124
550,0.31248557358624673,0.4480657638162162,0.30083625652995644,1.462108029739157,1.6629726578548325
600,0.277860837689338,0.4261204973569287,0.31293201463386755,1.4723448382554774,1.6396251651357328
650,0.37010818185208944,0.5006148544195897,0.3273166283508465,1.2515112884213642,1.5941815497914547
700,0.27792342878960036,0.4848149105087446,0.314048546774364,1.3840647171449814,1.6172888449391374
750,0.3060024689680887,0.49976898573844997,0.3454522737375231,1.269515605863229,1.5664175008304615
800,0.261171675308531,0.39468621440268964,0.3474918725062128,1.5275906297295516,1.5886709010710522
850,0.2332627553165857,0.3466356596382512,0.36056909595198444,1.5731039016900539,1.576343033410988
900,0.19682457460800856,0.30090185754963944,0.38143454532022314,1.5692643396224004,1.5295267077875716
950,0.20108421408932797,0.31017634125378274,0.38558294134822313,1.6078671553141826,1.5179331228661146
1000,0.2266188428580011,0.3034645381328187,0.3578211315906127,1.636885626854771,1.5751581048894339
1050,0.3082573002276352,0.3928519100429982,0.3742172500183714,1.4838076671879303,1.5621311085761578
1100,0.34348462537505825,0.41778318155549105,0.39218375966450175,1.483449930883392,1.4458797183860967
1150,0.25459583837132915,0.4090256158711638,0.3546301206961328,1.4898974631687099,1.5294206183016652
1200,0.27389204810120094,0.35523402050420044,0.39505170084121416,1.571543685714738,1.4563181374528256
1250,0.20689818349451605,0.28227279167967023,0.3910922081931668,1.6588776800970948,1.519962229317102
1300,0.25923396475889676,0.27843480388437825,0.4211019577376372,1.6458038829364081,1.456338388302823
1350,0.10905068866376841,0.24002105660848427,0.3745449213060546,1.7229427218451299,1.550652832036032
1400,0.2186979199738056,0.20927723501071344,0.3509041728796308,1.777525634606334,1.5170929210267128
1450,0.09565278745059594,0.2834284299622236,0.28745710385214907,1.6615963042405797,1.6453814889472036
1500,0.2862413886330839,0.3985540652814914,0.5001196401257686,1.4219102799994436,1.3374951061302964
1550,0.22154801955554398,0.4382770546161124,0.5042720591205214,1.4164330524173958,1.323727402326234
1600,0.20591105769188572,0.4262129409064891,0.477726520284554,1.4861849877131241,1.384453393215342
1650,0.23219915166682098,0.38470540369422546,0.46180134299518866,1.535763619489347,1.4144217647364414
1700,0.15409794443130742,0.3396939281290017,0.5093278747712148,1.6229429714870875,1.306041058055927
1750,0.1860270413571769,0.3248936756519491,0.45057214837735504,1.6244162205412442,1.4333030725750575
1800,0.20619078081023395,0.39084682250758096,0.4412019543512809,1.5589593519329286,1.496051219678091
1850,0.20408707308924395,0.3613609604603206,0.4236472042392313,1.5925713488543696,1.4974557734288392
1900,0.15281261790473866,0.35473284156626267,0.39774623646804863,1.5718230225622862,1.5372999482517011
1950,0.1852325303966158,0.3338297311802991,0.39871391304967974,1.555802324858233,1.4802483212205915
2000,0.20451684083334995,0.31110479345051967,0.48260920159733023,1.662473964706566,1.383544980870666
2050,0.21453598116325207,0.32826663702714254,0.45870012536571525,1.658454456730798,1.3673522357015624
2100,0.09684673875758494,0.308863415522287,0.4795655987182473,1.6530414786551555,1.3672210429520106
2150,0.1509140635982112,0.34369410359613145,0.46139121616809153,1.6064352456317907,1.3833703890862226
2200,0.23973904008672606,0.3709681507159544,0.4776417269230568,1.548598929065526,1.2867525752655398
2250,0.14945108937314386,0.3012195480177585,0.5271388086498763,1.6143199040946232,1.2696723478030252
2300,0.17887919621141157,0.353435774506154,0.5019026206654098,1.5063752306855696,1.2861672877074484
2350,0.23706795275423506,0.3731409930698453,0.5835073906947477,1.4746895414636714,1.1052487392039867
2400,0.11258921446325817,0.38604200309208647,0.4886593309891046,1.48523658210939,1.3274001157221647
2450,0.20401415473589374,0.4011266886730094,0.4914653537880088,1.4369666332797604,1.2780267472394342
2500,0.1692976003922988,0.356536978624539,0.5093965156392537,1.569090570326364,1.2593182279387263
