t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
0,0.37373439207907266,0.3034654383796814,0.3742376773695567,1.5496761531792986,1.467718203866851
50,0.3068978106108107,0.32531450418038355,0.3552564131139796,1.5974987395174762,1.5460282334445477
100,0.34720829778292034,0.28149699227843616,0.4441588509169778,1.6071950990114168,1.4248673619296255
150,0.23627905883965328,0.3081709548947664,0.33994394164118624,1.618409547231293,1.5486802800363517
200,0.3164714407861898,0.37519329781243194,0.36386033088744174,1.5307469074759013,1.5705701583974483
250,0.2737855727720182,0.37371110315562034,0.45063877796661544,1.5420334454538887,1.3716718102441554
300,0.16327044960599504,0.40302935662912087,0.32877157251003575,1.4948136035388013,1.6168707481157503
350,0.18780592144140495,0.35274156992476946,0.36660923081299435,1.543033307809776,1.499165851239559
400,0.14550766237200607,0.3989871968183927,0.4473046694283047,1.496329119127927,1.4414448148624641
450,0.13549776177667058,0.364500826363894,0.3583267736732696,1.549126274324447,1.533646900684143
500,0.16888084568245476,0.39674001743597276,0.3767393974096289,1.4587143906668336,1.5279430535837222
550,0.18375536157783087,0.32806585200534766,0.3760436673913327,1.5727990958077371,1.4383747899655799
600,0.21115758658074774,0.38142585245641475,0.35166312512804876,1.452157914870216,1.5718453795580236
650,0.1784979873896881,0.4239136680101589,0.39167524136633425,1.4496401301104271,1.5172310727312046
700,0.14949067492542603,0.43731525905930296,0.4144488963224757,1.4505873462194872,1.4842066326216727
750,0.1659149204108301,0.4105936065786258,0.3874782374226433,1.4585578011758744,1.5331759997569654
800,0.300140988998404,0.4102211909921261,0.45673510938352546,1.423199724299219,1.2642710324911381
850,0.20466242478824603,0.4445234357008756,0.34223267461567386,1.355770638249963,1.577019190301559
900,0.17694816958666318,0.44116985620368426,0.3665796245248441,1.3002908512163227,1.5440733177462376
950,0.25483568838058834,0.4935333725963328,0.38491160851550144,1.206529589486297,1.5146608902155876
1000,0.23938282420661447,0.5807666580419362,0.3852487624630967,1.1386422355134946,1.4956959924775737
1050,0.2731739186735119,0.49547823293780996,0.4470009332847347,1.284648334017836,1.373221502750864
1100,0.29063001212913003,0.5268031404564372,0.5636125038573545,1.230215750331387,1.130788134982026
1150,0.2033702911374899,0.4736184901618489,0.5320400257437076,1.3060540636701112,1.2544228684225416
1200,0.18935088709947306,0.43732870143044944,0.45351356218719285,1.4020531822683315,1.3368420569763741
1250,0.26710286613074974,0.40484013492039506,0.46339345189597586,1.4519454283544042,1.3821602732002543
1300,0.11796881639827829,0.42640161822603095,0.4427769519182887,1.4252656829629302,1.4550834627081195
1350,0.22084515870845467,0.40994529486386844,0.4465113338683323,1.4332390421655576,1.4801545355888845
1400,0.23723925079513422,0.4163187449717007,0.37103604736443174,1.3786645190069469,1.5410002655494135
1450,0.3314498840495119,0.4016896229299054,0.42083565804374373,1.430289964858274,1.318192581072811
1500,0.4365152077925515,0.4333431953392839,0.47220076170224773,1.2504438475000947,1.227655474272408
1550,0.27442054056165466,0.44558673793704073,0.3156549897179517,1.3974668603446359,1.5390633635558515
1600,0.30619609092008415,0.5089139397171183,0.3630283087138496,1.318689345708082,1.4698160845259958
1650,0.29555391412045817,0.5335622965182342,0.41386850002513,1.1828846488847027,1.4452626738395926
1700,0.2286878283929306,0.5459888136427192,0.39389776947630034,1.1382423640239014,1.4802668272836277
1750,0.23086173939467988,0.5295723632440466,0.33825338833302443,1.261255650955557,1.6097674169038767
1800,0.2920232592591262,0.5322003589371305,0.2803005012517115,1.1844667394571537,1.6858569797999357
1850,0.23211033155955987,0.5387578503873391,0.3050101378858452,1.2288402608293816,1.6547353555820319
1900,0.2289250323815334,0.5404319247583952,0.39636950996852294,1.1761778239393956,1.5372460508070551
1950,0.23322556165560973,0.5219716900386144,0.4432958378178143,1.2789080195258924,1.471749273728153
2000,0.192562044771358,0.523571275355011,0.5127461985957334,1.2436570788393277,1.2821362637132139
2050,0.22867686971581486,0.5298044804072108,0.5288642346325741,1.1827725566882732,1.2612089567051503
2100,0.11354375463731597,0.525825623018882,0.3759519193604668,1.2333254728125296,1.495197679650556
2150,0.24536940043973454,0.5580053497485766,0.3280717890589257,1.1802074677124914,1.5996892364045676
2200,0.24019115083038634,0.5901070198022081,0.3058347562099619,0.9445699730757977,1.6580023525461467
2250,0.15387446604450022,0.5843178638430342,0.34637281671883424,1.0964361871481139,1.606605805677471
2300,0.3393821293871806,0.5675487075693406,0.4857121922364025,1.018116372919178,1.2656842562066943
2350,0.08330444896903821,0.5028226193853536,0.43695787197764,1.3000558169472098,1.4556896282706477
2400,0.20197483771250704,0.47486848308273394,0.43616482823203434,1.331599499561735,1.452461776366657
2450,0.159267716161631,0.45953723998426904,0.4439555947042506,1.393023156324713,1.4754618339966663
2500,0.14612139379474162,0.38520946532134526,0.3655188766524229,1.4110817916499632,1.5527942663029102
2550,0.2354682593468841,0.3804518791213328,0.46138294109314704,1.530272104021127,1.3248391232770749
2600,0.18818347822303366,0.38187093542457223,0.5352839139448458,1.5531607831208676,1.2221480796284792
2650,0.24840578950230308,0.2778018074485729,0.6028395294747648,1.6655967209122176,1.0917269143761514
2700,0.2523528922067933,0.3067504462717909,0.6300636173823138,1.6661157910224242,0.9746093566829819
2750,0.23377335450430603,0.26628085304355353,0.5724478354395379,1.7028600414187598,1.1427934098154249
2800,0.30884599192433415,0.3760238261210863,0.5504245577082589,1.545792330971894,1.1947021353727887
2850,0.26078487374632986,0.34116336914482215,0.5346550434459882,1.6230184975355013,1.2801702645696664
2900,0.16539256697851276,0.342120855746739,0.45291440835659535,1.5840539992262388,1.4229362566949444
2950,0.1788446937859505,0.4415020284537773,0.4651224159486488,1.468320290915911,1.4319646545419125
3000,0.30435906989325956,0.3973331307800847,0.4893048299638314,1.5094108302916265,1.3141976085082467
3050,0.1665985166939823,0.4488406233661797,0.4394363504154957,1.4506355760799086,1.4582160599965357
3100,0.18726312462296021,0.41162729582420193,0.49738753816868336,1.505730562930638,1.255786186242697
