game,algo_L,stepsize_mode,init_mode,seed,iters,final_duality_gap,gap_log_linear_rate,final_w2_sum,w2_log_linear_rate,final_entropy_a,final_entropy_b,final_barycenter_x,final_barycenter_y,csv_path
convex_concave,1,vanilla,uniform,0,2000,-0.0006280710096419958,-0.061531788968650254,1.8645678657648126e-07,-0.007111681552595648,0.6931447589368922,1.0878391188663614,2.135784617740665e-15,-1.9288580288501967e-16,convex_concave\L1_vanilla_init-uniform_seed0.csv
convex_concave,1,vanilla,uniform,1,2000,-0.0006280710096405282,-0.04717252931603955,2.0502432096725008e-07,-0.007685030660087323,0.6348433175198802,1.0956848801927288,2.062599894062403e-17,-3.2602040279601963e-15,convex_concave\L1_vanilla_init-uniform_seed1.csv
convex_concave,1,vanilla,uniform,2,2000,-0.0006280710096436727,-0.04384559063105227,1.6594082661205785e-07,-0.00743494731544074,0.6929416107646397,0.640137450665167,-2.316198785773372e-15,2.67642447287743e-15,convex_concave\L1_vanilla_init-uniform_seed2.csv
convex_concave,1,slingshot,uniform,0,2000,-0.0006280710096427569,-0.0942816383783496,1.7684541255891118e-07,-0.005253678623280557,0.6931455582808501,0.673963990279243,1.7217804992364576e-15,7.942165453538628e-16,convex_concave\L1_slingshot_init-uniform_seed0.csv
convex_concave,1,slingshot,uniform,1,2000,-0.000628071009642089,-0.08821357582626853,1.870038799301692e-07,-0.00515907253382532,0.6931328633677349,1.0771921542146219,3.796675987945646e-16,-3.880425183811074e-15,convex_concave\L1_slingshot_init-uniform_seed1.csv
convex_concave,1,slingshot,uniform,2,2000,-0.0006280710096440139,-0.08139662137385922,1.6020501374713763e-07,-0.005282518407306654,0.692398576720688,0.6923294993057832,-2.8296192013507864e-15,2.3129888589999172e-15,convex_concave\L1_slingshot_init-uniform_seed2.csv
convex_concave,2,vanilla,uniform,0,2000,-0.0006280710096208197,-0.03413214862701514,3.9040706106941355e-07,-0.007678018532988878,0.6918224902139247,1.0291580464631137e-12,2.2856753859319198e-15,9.393400094539607e-16,convex_concave\L2_vanilla_init-uniform_seed0.csv
convex_concave,2,vanilla,uniform,1,2000,0.01777215023852472,-0.001147997020342056,0.19405749284757384,-0.0007593081519370698,0.5787783692983131,0.6908662444731067,-0.10000000000000366,9.665176121346195e-15,convex_concave\L2_vanilla_init-uniform_seed1.csv
convex_concave,2,vanilla,uniform,2,2000,-0.0006280710096177027,-0.03708600462721717,4.163924120083554e-07,-0.008182891140029453,1.0289360018581887e-12,0.6889742573257494,-1.730436434699651e-16,6.432307074419542e-15,convex_concave\L2_vanilla_init-uniform_seed2.csv
convex_concave,2,slingshot,uniform,0,2000,-0.0006280710096030739,nan,5.000168849616968e-07,-0.003151554787001721,0.6789937333981682,1.0289360018581887e-12,-9.273217593223015e-15,5.272891371106943e-15,convex_concave\L2_slingshot_init-uniform_seed0.csv
convex_concave,2,slingshot,uniform,1,2000,-0.0006280710096061072,nan,4.830332169986871e-07,-0.0031480133241017032,0.6782018425396242,0.6898613768208923,-6.596895652460968e-15,5.631137639065667e-15,convex_concave\L2_slingshot_init-uniform_seed1.csv
convex_concave,2,slingshot,uniform,2,2000,-0.0006280710095981016,nan,5.334554004222558e-07,-0.0031060678132326905,1.0289360018581887e-12,1.0289360018581887e-12,9.135636315844581e-15,-2.254991278365132e-15,convex_concave\L2_slingshot_init-uniform_seed2.csv
