t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,3.238136506684693,3.1321536239840753,2.819761089754864,3.0423760078228237,3.1095884736282846,0.6682032150199383,-0.2895540753855354
100,0.006886578649958982,0.09677004860262035,0.08051376753199423,0.8965099380670655,1.2335807368518517,-0.008698273140724863,0.0041444588489378
200,-0.0005203765884342895,0.01175608960214258,0.009376896005663153,0.6985088387033509,1.091358909409896,-0.0001504599451281161,4.182496172439305e-05
300,-0.0006264749954931411,0.0014353097977435525,0.001131644564888107,0.6932625287794225,1.0879126791406142,-2.5760789322418724e-06,3.6622629094987075e-07
400,-0.0006280462566662528,0.00017886062389195191,0.0001403702199391335,0.6931472027751447,1.0878405805691,-4.4829104058829764e-08,1.7448344027119652e-09
500,-0.0006280706127747299,2.2682904517511727e-05,1.769134019085091e-05,0.6931448083657165,1.0878391470943007,-7.884245797487132e-10,-3.349988816217056e-11
600,-0.0006280710031249413,2.917874868419134e-06,2.2529109468771714e-06,0.6931447599222011,1.0878391194011676,-1.3961607178890706e-11,-1.4986526185890184e-12
700,-0.0006280710095360419,3.857240075474292e-07,2.982191483276185e-07,0.6931447589559374,1.0878391188760763,-2.514535297010529e-13,-3.5615477560907894e-14
800,-0.0006280710096416089,9.99864773813347e-08,8.998291973494331e-08,0.6931447589371602,1.0878391188664143,-7.535250776441901e-15,2.2117813110531005e-15
900,-0.0006280710096427026,8.98624874270764e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1000,-0.0006280710096427026,8.98624874270763e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553869e-15,2.8410324621729165e-15
1100,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1200,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1300,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1400,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1500,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1600,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1700,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1800,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1900,-0.0006280710096427024,8.986248742707639e-08,8.74473066501763e-08,0.6931447589368922,1.0878391188663612,-3.638120030553881e-15,2.8410324621729165e-15
1999,-0.0006280710096419958,9.124572297067075e-08,9.52110636058105e-08,0.6931447589368922,1.0878391188663614,2.135784617740665e-15,-1.9288580288501967e-16
