t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
700,2.7570538444858055e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
725,2.7385501274087196e-16,3.0531133177191805e-16,3.0531133177191805e-16,1.0986122886681096,1.0986122886681096
750,3.7932620008026185e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.0986122886681098,1.0986122886681098
775,3.848773152033876e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
800,3.3491727909525555e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681098,1.0986122886681098
825,3.404683942183813e-16,2.220446049250313e-16,2.220446049250313e-16,1.0986122886681096,1.0986122886681096
850,3.404683942183813e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
875,3.23815048849004e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
900,2.7385501274087196e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681098,1.0986122886681098
925,2.7385501274087196e-16,3.0531133177191805e-16,3.0531133177191805e-16,1.0986122886681096,1.0986122886681096
950,3.7932620008026185e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.0986122886681098,1.0986122886681098
975,3.848773152033876e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
1000,3.3491727909525555e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
1025,3.404683942183813e-16,2.220446049250313e-16,2.220446049250313e-16,1.0986122886681098,1.0986122886681098
1050,3.404683942183813e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681098,1.0986122886681098
1075,3.23815048849004e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
1100,2.7385501274087196e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
1125,2.7570538444858055e-16,3.0531133177191805e-16,3.0531133177191805e-16,1.0986122886681096,1.0986122886681096
1150,3.8117657178797044e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.0986122886681098,1.0986122886681098
1175,3.7562545666484463e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
1200,3.4231876592608995e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
1225,3.3676765080296414e-16,2.220446049250313e-16,2.220446049250313e-16,1.0986122886681096,1.0986122886681096
1250,3.3676765080296414e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
1275,3.3121653567983837e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
1300,2.7570538444858055e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
1325,2.7385501274087196e-16,3.0531133177191805e-16,3.0531133177191805e-16,1.0986122886681096,1.0986122886681096
1350,3.7932620008026185e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.0986122886681098,1.0986122886681098
1375,3.848773152033876e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
1400,3.3491727909525555e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681098,1.0986122886681098
1425,3.404683942183813e-16,2.220446049250313e-16,2.220446049250313e-16,1.0986122886681096,1.0986122886681096
1450,3.404683942183813e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
1475,3.23815048849004e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
1500,2.7385501274087196e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681098,1.0986122886681098
1525,2.7385501274087196e-16,3.0531133177191805e-16,3.0531133177191805e-16,1.0986122886681096,1.0986122886681096
1550,3.7932620008026185e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.0986122886681098,1.0986122886681098
1575,3.848773152033876e-16,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,1.0986122886681096
1600,3.3491727909525555e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
