game,algo,seed,final_duality_gap,gap_log_linear_rate,final_tv_a,final_tv_b,final_entropy_a,csv_path
cyclic7,vanilla,0,0.6999899216767206,5.330870756158262e-05,0.8566768441822469,0.8312236652038749,0.004138309761387188,exact_gradient\cyclic7\vanilla_seed0.csv
cyclic7,vanilla,1,0.6999999688517313,3.5916226149435956e-05,0.856758740278486,0.8466152718191434,0.0034521785889106015,exact_gradient\cyclic7\vanilla_seed1.csv
cyclic7,vanilla,2,0.6999993757024316,4.423619046368615e-05,0.8571246617020551,0.7347076927445935,0.00022675449553378695,exact_gradient\cyclic7\vanilla_seed2.csv
cyclic7,vanilla,3,0.699997735055227,6.24518823947817e-05,0.8571426875851118,0.8449379367075045,2.958203626473679e-06,exact_gradient\cyclic7\vanilla_seed3.csv
cyclic7,vanilla,4,0.6996527177075373,5.863790818733491e-05,0.790920895851232,0.8557885787711174,0.2552043908333084,exact_gradient\cyclic7\vanilla_seed4.csv
cyclic7,nash_md,0,2.1510571102112408e-16,-0.004515782078094876,1.8041124150158794e-16,1.942890293094024e-16,1.945910149055313,exact_gradient\cyclic7\nash_md_seed0.csv
cyclic7,nash_md,1,1.2727913960881258e-16,-0.004533242828157232,6.938893903907228e-17,1.8041124150158794e-16,1.9459101490553132,exact_gradient\cyclic7\nash_md_seed1.csv
cyclic7,nash_md,2,2.0816681711721685e-16,-0.004487425948729021,1.942890293094024e-16,1.8041124150158794e-16,1.9459101490553132,exact_gradient\cyclic7\nash_md_seed2.csv
cyclic7,nash_md,3,2.5773034500226845e-16,-0.004464972907687233,2.0816681711721685e-16,3.191891195797325e-16,1.945910149055313,exact_gradient\cyclic7\nash_md_seed3.csv
cyclic7,nash_md,4,3.007514872064933e-16,-0.004306172506694993,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,exact_gradient\cyclic7\nash_md_seed4.csv
cyclic7,slingshot,0,0.054985457241376455,-0.0002869920399527356,0.3492727946052009,0.24853961034825364,1.6261139762002734,exact_gradient\cyclic7\slingshot_seed0.csv
cyclic7,slingshot,1,0.038901696821339954,-0.0005605082284300819,0.21555345865628167,0.19240928253157508,1.8030323537096697,exact_gradient\cyclic7\slingshot_seed1.csv
cyclic7,slingshot,2,0.01301953419942433,-0.0006415336220875139,0.06882347112302353,0.11366968468086842,1.9334869090881681,exact_gradient\cyclic7\slingshot_seed2.csv
cyclic7,slingshot,3,0.02325776774331372,-0.0006054441286521596,0.14740112715849224,0.15026698185855175,1.8932656513232013,exact_gradient\cyclic7\slingshot_seed3.csv
cyclic7,slingshot,4,0.0185502166642921,-0.000626972351278423,0.05619714999526336,0.17678833455769336,1.9379158177532778,exact_gradient\cyclic7\slingshot_seed4.csv
